log10(Mass)+10    log10(VelDisp_subhalos)
10.578774 -inf
10.555624 -inf
10.593609 -inf
10.430564 1.708620
10.514065 -inf
10.597872 -inf
10.576172 -inf
10.551975 -inf
10.593226 -inf
10.567154 -inf
10.543062 1.597531
10.568270 -inf
10.549260 -inf
10.600330 -inf
10.561591 -inf
10.468520 1.700182
10.491551 1.641319
10.581226 1.491499
10.531664 1.698353
10.538588 -inf
10.600661 0.840121
10.570096 -inf
10.471513 1.642264
10.580318 -inf
10.520651 -inf
10.543414 1.781904
10.553193 1.771533
10.553193 -inf
10.544220 -inf
10.507571 1.415906
10.553125 -inf
10.546156 -inf
10.544336 1.700531
10.553212 -inf
10.523977 -inf
10.563855 -inf
10.254745 1.533380
10.559819 -inf
10.569554 -inf
10.575267 -inf
10.568539 -inf
10.563726 -inf
10.542438 -inf
10.516920 -inf
10.412921 1.567226
10.414469 1.585177
10.532691 2.319652
10.555295 -inf
10.536904 -inf
10.564205 -inf
10.310939 -inf
10.519842 1.667236
10.508442 -inf
10.514438 1.677341
10.123308 1.546203
10.089295 1.332598
10.561049 -inf
10.526303 1.480987
10.534105 1.527722
10.555672 -inf
10.586848 -inf
10.518942 1.721992
10.532702 -inf
10.537378 -inf
10.547145 -inf
10.542697 1.766972
10.542866 -inf
10.449429 -inf
10.517963 -inf
10.555083 -inf
10.553100 -inf
10.502530 -inf
10.564393 -inf
10.256660 1.378760
10.575455 -inf
10.557271 -inf
10.534480 -inf
10.561801 -inf
10.500600 -inf
10.533756 -inf
10.545399 1.544196
10.546252 1.773679
10.390218 2.489031
10.564596 -inf
10.417687 -inf
10.544319 -inf
10.550368 -inf
10.521755 1.582882
10.328990 1.528653
10.516296 -inf
10.508939 -inf
10.502031 -inf
10.422488 1.374909
10.503201 -inf
10.494546 -inf
10.500146 1.637228
10.526912 1.909047
10.519936 -inf
10.534845 -inf
10.506197 1.527985
10.545297 -inf
10.313058 1.654641
10.483867 -inf
10.508368 -inf
10.530008 -inf
10.531039 -inf
10.534774 -inf
10.536776 -inf
10.367152 1.567199
10.529065 -inf
10.515332 -inf
10.487674 1.553357
10.548597 -inf
10.535785 -inf
10.502451 1.523811
10.519299 -inf
10.523132 -inf
10.485009 -inf
10.543484 -inf
10.530649 -inf
10.280096 1.597532
10.516339 -inf
10.522887 -inf
10.512649 1.478418
10.518537 -inf
10.526371 1.657710
10.536096 -inf
10.527172 1.633795
10.493156 -inf
10.502321 -inf
10.497218 1.627137
10.517828 -inf
10.507171 -inf
10.537624 -inf
10.528581 -inf
10.545895 -inf
10.254107 1.651462
10.465178 -inf
10.533767 -inf
10.464869 1.453991
10.495260 -inf
10.508551 -inf
10.517062 -inf
10.367762 1.739290
10.524325 -inf
10.452980 -inf
10.336737 1.608971
10.442061 -inf
10.534032 -inf
10.484891 1.289246
10.421809 1.498392
10.471222 -inf
10.495081 -inf
10.513674 -inf
10.518001 -inf
10.518508 -inf
10.490492 -inf
10.475411 -inf
10.475370 -inf
10.495533 -inf
10.519035 -inf
10.412406 1.721518
9.997347 1.640373
10.517083 -inf
10.539251 -inf
10.491472 -inf
10.475631 -inf
10.378573 1.485613
10.507482 -inf
10.528695 -inf
10.464467 -inf
10.431940 -inf
10.510315 -inf
10.510197 -inf
10.499702 -inf
