log10(Mass)+10    log10(VelDisp_particles)
10.316821 1.764086
10.809751 1.828632
10.781518 1.785697
10.787108 1.815422
10.757158 1.777566
10.805402 1.805588
10.779777 1.804766
10.803177 1.816850
10.788591 1.815433
10.776643 1.792890
10.788502 1.846360
10.622921 1.783978
10.762133 1.781037
10.784734 1.793472
10.820640 1.839550
10.790351 1.813075
10.733605 1.767453
10.792465 1.944922
10.788717 1.797322
10.765106 1.908909
10.788481 1.811513
10.788207 1.809353
10.777565 1.814964
10.785186 1.811327
10.791941 1.800952
10.808317 1.855695
10.786542 1.808217
10.771067 1.806912
10.750357 1.783128
10.742251 1.780114
10.780284 1.810786
10.767083 1.815945
10.738389 1.810372
10.780549 1.794307
10.741426 1.777711
10.777856 1.800752
10.766334 1.781977
10.743228 1.832651
10.556510 1.758627
10.773962 1.810760
10.797916 1.819518
10.752483 1.854638
10.778929 1.808992
10.735624 1.760960
10.778513 2.096427
10.754158 1.805903
10.735498 1.778036
10.662518 1.726724
10.785863 1.832409
10.742519 1.780729
10.764300 1.801166
10.791840 1.838970
10.742277 1.783616
10.785190 1.827332
10.776858 1.807266
10.237800 1.719618
10.765558 1.821085
10.728885 1.773233
10.740755 1.789075
10.766750 1.804448
10.740689 1.789906
10.749232 1.778553
10.472090 1.709961
10.736343 1.793185
10.722487 1.764069
10.760656 1.810161
10.760103 1.819141
10.709530 1.767012
10.753357 1.807790
10.731979 1.782640
10.746528 1.786833
10.656904 1.789247
10.731726 1.776017
10.683213 1.735819
10.740158 1.795352
10.737009 1.786758
10.704847 1.757931
10.719394 1.781143
10.733589 1.765355
10.701329 1.766688
10.747761 1.802297
10.705627 1.773339
10.723420 1.768601
10.730311 1.783685
10.708762 1.784694
10.730059 1.789416
10.734003 1.813804
10.714461 1.777278
10.672849 1.730436
10.618376 1.726200
10.700101 1.806752
10.648679 1.752216
10.711181 1.783245
10.670745 1.742528
10.742586 1.807293
10.740043 1.832561
10.722730 1.803280
10.750654 1.839609
10.661500 1.746928
10.737565 1.807424
10.679369 1.758349
10.628840 1.732514
10.711386 1.780749
10.742409 1.811531
10.703033 1.794998
10.557227 1.748801
10.679111 1.753589
10.718782 1.775461
10.696584 1.751770
10.665736 1.761693
10.746202 1.830980
10.547370 1.720527
10.731121 1.803230
10.197133 2.137285
10.721781 1.798590
10.701129 1.785071
10.082634 1.754141
10.724014 1.790328
10.706630 1.782524
10.632598 1.770692
10.711968 1.788276
10.713755 1.807573
10.623199 1.741819
10.698347 1.785058
10.708470 1.799355
10.697431 1.799283
10.719150 1.773918
10.669338 1.772530
10.727117 1.962215
10.391804 1.689406
10.693736 1.785783
10.638054 1.752942
10.643834 1.727286
10.673980 1.754838
10.680157 1.763172
10.614328 1.753656
10.702979 1.801111
10.707889 1.797879
10.495444 1.732468
10.686716 1.777068
10.697409 1.870492
10.659921 1.800929
10.632271 1.791364
10.657680 1.755350
10.362704 1.690928
10.695617 1.780467
10.676287 1.763972
10.546854 2.002618
10.666843 1.763985
10.689861 1.785552
10.707077 1.800285
10.664286 1.752062
10.680484 1.757027
10.713701 1.815828
10.704022 1.785437
10.684521 1.763570
10.703583 1.827785
10.616972 1.745489
10.591760 1.726827
10.577621 1.814210
10.304217 2.384333
10.715642 1.814426
10.679821 1.784197
10.540951 1.738296
10.690049 1.821353
10.631993 1.738684
10.424717 1.654810
10.639280 1.747104
10.703708 1.811194
10.706612 1.869236
10.666248 1.812708
10.705382 1.784185
10.624420 1.731314
10.574468 1.700603
10.666123 1.767198
10.675715 1.771642
10.587315 1.742690
10.700590 1.858036
10.673423 1.759668
10.643237 1.758148
10.605954 1.735429
10.671575 1.763295
10.651030 1.759551
10.597036 1.726126
10.674388 1.776676
10.679320 1.773492
10.620281 1.744084
10.673218 1.773102
10.664384 1.768353
10.662533 1.779273
10.692508 1.789489
10.605454 1.750692
10.676054 1.777635
10.645725 1.747502
10.574287 1.719447
10.626100 1.770022
10.674756 1.773859
10.651259 1.786935
10.328465 1.732832
10.693626 1.803577
10.675391 1.787370
10.637841 1.735441
10.644429 1.748686
10.636312 1.778838
10.602898 1.730007
10.649582 1.759915
10.545368 1.718089
10.634370 1.752851
10.654678 1.818272
10.589835 1.731728
10.644947 1.756727
10.636204 1.763329
10.658531 1.763324
10.661597 1.766121
10.598480 1.774906
10.673537 1.838716
10.490655 1.693875
10.529254 1.714104
10.602745 1.716940
10.651512 1.759417
10.622960 1.748440
10.670127 1.785441
10.654357 1.760006
10.659300 1.787451
10.207427 1.657042
10.587813 1.719712
10.626566 1.765431
10.655158 1.751711
10.670281 1.857439
10.636213 1.758061
10.676152 1.809549
10.641569 1.748323
10.663666 1.765368
10.658367 1.785444
