No. Number M200 sigma200 R200 Sigma M_sigma Sigma_LoS
280.0 2.0 121.5029 122.6864 0.1736 87.9052 62.3767 70.0601
281.0 1.0 110.635 118.9155 0.1682 0.0 0.0 0.0
282.0 1.0 74.0103 104.0011 0.1471 0.0 0.0 0.0
283.0 1.0 112.3739 119.5355 0.1691 0.0 0.0 0.0
284.0 2.0 100.5279 115.1788 0.1629 60.2234 27.4835 12.568
285.0 1.0 129.5451 125.3388 0.1773 0.0 0.0 0.0
286.0 2.0 109.6569 118.5657 0.1677 90.9917 64.5835 18.1747
287.0 1.0 80.531 106.9711 0.1513 0.0 0.0 0.0
288.0 1.0 113.2433 119.8432 0.1695 0.0 0.0 0.0
289.0 1.0 116.9384 121.1322 0.1713 0.0 0.0 0.0
290.0 1.0 109.7656 118.6057 0.1678 0.0 0.0 0.0
291.0 1.0 46.9492 89.3632 0.1264 0.0 0.0 0.0
292.0 2.0 92.4856 112.0216 0.1585 85.7642 54.2105 30.1891
293.0 1.0 112.3739 119.5374 0.1691 0.0 0.0 0.0
294.0 1.0 90.6381 111.2705 0.1574 0.0 0.0 0.0
295.0 1.0 114.4388 120.2657 0.1701 0.0 0.0 0.0
296.0 1.0 102.7015 116.0038 0.1641 0.0 0.0 0.0
297.0 1.0 115.8516 120.7553 0.1708 0.0 0.0 0.0
298.0 2.0 81.0744 107.2114 0.1516 66.1306 30.8465 28.5276
299.0 1.0 113.4607 119.919 0.1696 0.0 0.0 0.0
300.0 1.0 102.9188 116.0848 0.1642 0.0 0.0 0.0
301.0 1.0 104.4403 116.653 0.165 0.0 0.0 0.0
302.0 2.0 107.1573 117.6573 0.1664 111.4995 96.2343 76.813
303.0 1.0 104.1143 116.5329 0.1648 0.0 0.0 0.0
304.0 1.0 108.2441 118.0519 0.167 0.0 0.0 0.0
305.0 1.0 97.1588 113.8759 0.1611 0.0 0.0 0.0
306.0 1.0 113.0259 119.7675 0.1694 0.0 0.0 0.0
307.0 1.0 104.1143 116.5297 0.1648 0.0 0.0 0.0
308.0 1.0 102.7015 116.0027 0.1641 0.0 0.0 0.0
309.0 3.0 93.2464 112.3268 0.1589 121.3087 108.7551 74.8173
310.0 1.0 77.3793 105.5564 0.1493 0.0 0.0 0.0
311.0 1.0 104.0056 116.489 0.1648 0.0 0.0 0.0
312.0 1.0 67.5982 100.9072 0.1427 0.0 0.0 0.0
313.0 1.0 90.7468 111.3143 0.1575 0.0 0.0 0.0
314.0 1.0 96.8328 113.7493 0.1609 0.0 0.0 0.0
315.0 1.0 98.5717 114.4287 0.1619 0.0 0.0 0.0
316.0 1.0 105.0924 116.8978 0.1653 0.0 0.0 0.0
317.0 1.0 102.9188 116.0862 0.1642 0.0 0.0 0.0
318.0 1.0 105.2011 116.9357 0.1654 0.0 0.0 0.0
319.0 1.0 83.248 108.161 0.153 0.0 0.0 0.0
320.0 2.0 81.0744 107.2099 0.1517 87.5633 54.0827 53.0361
321.0 1.0 47.0579 89.4304 0.1265 0.0 0.0 0.0
322.0 1.0 81.2917 107.3076 0.1518 0.0 0.0 0.0
323.0 1.0 76.6185 105.209 0.1488 0.0 0.0 0.0
324.0 1.0 99.0064 114.5931 0.1621 0.0 0.0 0.0
325.0 2.0 78.4661 106.0486 0.15 48.2478 16.2416 40.5593
326.0 3.0 71.0759 102.6078 0.1451 72.5083 35.4925 42.4665
327.0 2.0 75.8578 104.859 0.1483 81.3664 45.675 55.8757
328.0 1.0 106.0705 117.259 0.1659 0.0 0.0 0.0
329.0 2.0 95.3113 113.1528 0.16 99.3452 73.4695 24.7722
330.0 2.0 103.1362 116.1655 0.1643 112.5092 96.7459 47.8704
331.0 1.0 90.0947 111.0484 0.1571 0.0 0.0 0.0
332.0 1.0 104.549 116.6924 0.1651 0.0 0.0 0.0
333.0 1.0 60.4254 97.2029 0.1375 0.0 0.0 0.0
334.0 2.0 88.1385 110.2391 0.1559 95.1282 65.6316 60.9816
335.0 2.0 79.2268 106.3895 0.1505 57.2646 22.9534 17.3923
336.0 1.0 95.3113 113.1495 0.1601 0.0 0.0 0.0
337.0 2.0 96.9415 113.7896 0.161 112.1197 94.1169 39.9595
338.0 1.0 91.3989 111.5798 0.1578 0.0 0.0 0.0
339.0 4.0 97.1588 113.875 0.1611 95.617 68.5008 45.1456
340.0 1.0 83.7913 108.3962 0.1533 0.0 0.0 0.0
341.0 1.0 77.9227 105.8021 0.1497 0.0 0.0 0.0
342.0 1.0 85.2042 108.9998 0.1542 0.0 0.0 0.0
343.0 2.0 98.1369 114.2573 0.1616 52.9346 21.0641 38.8264
344.0 2.0 94.5505 112.8496 0.1596 127.6218 120.9242 107.5363
345.0 3.0 101.18 115.4298 0.1633 85.3016 55.2553 64.557
346.0 1.0 44.3409 87.6761 0.124 0.0 0.0 0.0
347.0 1.0 94.4419 112.8075 0.1596 0.0 0.0 0.0
