No. Number_particles M200 sigma200 R200 Sigma M_sigma Sigma_LoS Offset offset_log a_major b_inter c_minor major_dispersion intermediate_dispersion minor_dispersion
160.0 1467.0 159.4318 134.3166 0.19 220.5009 429.6711 127.5443 0.01714 -1.76591 0.05525 0.03947 0.03739 129.01737 129.26927 123.55004
161.0 1730.0 188.0143 141.9093 0.2007 228.0849 485.6936 145.3428 0.01388 -1.85759 0.06431 0.04048 0.03709 155.14226 120.83513 115.55289
162.0 1631.0 177.2551 139.1487 0.1968 227.8588 475.305 134.9613 0.0072 -2.14272 0.04813 0.04279 0.03503 140.66057 135.9626 116.82645
163.0 1861.0 203.338 145.6633 0.206 230.2957 508.2647 124.7152 0.00841 -2.07543 0.05745 0.05268 0.03084 139.54823 144.82346 112.19886
164.0 1798.0 195.4045 143.7447 0.2033 223.788 473.6141 128.0849 0.00275 -2.56011 0.05026 0.04854 0.03644 134.59558 133.96371 118.40116
165.0 1835.0 199.4256 144.7225 0.2047 225.0793 482.3694 127.2475 0.00788 -2.10354 0.05609 0.04382 0.04029 141.63035 125.67266 121.68773
166.0 2043.0 222.0308 149.9941 0.2122 242.4978 580.337 136.3645 0.00725 -2.13964 0.05543 0.04343 0.03759 154.79963 134.76324 129.1555
167.0 1424.0 154.7586 132.9936 0.1881 206.8598 374.4081 125.9664 0.00539 -2.26828 0.04911 0.04133 0.03281 130.77773 121.38438 104.66131
168.0 1717.0 186.6015 141.551 0.2002 220.0018 450.7557 122.0746 0.00253 -2.59735 0.04872 0.0479 0.03608 130.91886 133.87776 115.48926
169.0 1819.0 197.6867 144.2992 0.2041 219.6806 458.1765 128.1539 0.00599 -2.22277 0.05515 0.04458 0.0407 140.92014 120.31749 118.00331
