mass M200 vel_disp group_number subhalo_number zform alpha
423.4125671386719 327.7752380371094 146.77793884277344 168.0 2618.0 1.1155389939430236 283.2133721095111
774.5537109375 624.5770263671875 187.53237915039062 169.0 2622.0 0.7954228460304656 486.0313065341131
552.8489990234375 346.57666015625 146.2784881591797 170.0 2627.0 0.5308715136427934 424.9382222407229
663.5926513671875 568.9334716796875 175.856689453125 171.0 2635.0 0.33736776557345743 931.1191214902512
761.8383178710938 610.9921264648438 188.4022216796875 172.0 2645.0 0.8612879972443565 307.7333470461201
734.1251831054688 644.791259765625 196.7339324951172 173.0 2650.0 0.9209389905248487 508.74221396557726
748.4708251953125 558.282958984375 179.3780517578125 174.0 2654.0 0.5560780903612392 404.7400200093133
759.9907836914062 626.533203125 192.25697326660156 175.0 2656.0 1.1353396627728796 124.10854559438008
742.7108154296875 636.096923828125 189.8653564453125 176.0 2658.0 1.010898160758823 14.03518455691028
595.8858032226562 431.4548034667969 165.29632568359375 177.0 2662.0 1.1425208509361058 488.96320769043353
695.7615966796875 529.80908203125 171.032958984375 178.0 2669.0 0.6247760853912652 355.7059063920826
742.3848266601562 570.020263671875 180.75514221191406 179.0 2678.0 0.7385736182973602 394.25172562019804
742.92822265625 649.899169921875 189.2136688232422 180.0 2681.0 1.0328888264387692 232.07704089462294
473.6221618652344 402.98095703125 159.44207763671875 181.0 2683.0 0.8478932014652022 113.37699843638329
625.7724609375 452.103759765625 164.7000274658203 182.0 2688.0 0.8170806808691106 461.9193121418706
681.3073120117188 495.46661376953125 164.91693115234375 183.0 2699.0 0.42063384061707754 478.32057787116435
502.53070068359375 347.6634521484375 150.65211486816406 184.0 2706.0 0.7144743072659996 239.14200843232362
525.1359252929688 359.2920837402344 151.48056030273438 185.0 2718.0 0.4133238690058205 697.2410141369193
681.6333618164062 575.6715698242188 174.24667358398438 186.0 2724.0 0.7376360221864333 283.03398501721404
531.221923828125 381.4625549316406 153.54034423828125 187.0 2731.0 0.5473333390954812 779.137757726666
673.2650756835938 551.4362182617188 175.25257873535156 188.0 2738.0 0.5940755683148337 688.0453444373784
459.7112731933594 338.9691467285156 147.96388244628906 189.0 2741.0 1.1799108519959196 223.7232693815086
572.6285400390625 349.29364013671875 155.57383728027344 190.0 2749.0 0.4743218031837079 694.967724407577
676.6341552734375 577.8451538085938 180.42633056640625 191.0 2754.0 0.9498191087889135 131.48455251901396
630.4456787109375 557.8482055664062 181.8516082763672 192.0 2763.0 0.979454952339153 586.0649601723488
554.3704833984375 418.19598388671875 152.4611053466797 193.0 2767.0 0.6033377743828768 342.418715868036
605.992919921875 601.537109375 182.38003540039062 194.0 2775.0 0.23420485793306287 1183.1175284666174
636.6403198242188 502.2046813964844 168.59681701660156 195.0 2778.0 0.9434285019461822 448.9497180759628
614.7958984375 507.96466064453125 167.7493133544922 196.0 2783.0 0.6403978532561911 838.2068048837353
661.9625244140625 520.4627075195312 173.20985412597656 197.0 2788.0 0.8499032543711716 286.7147543986418
671.9609375 559.5870971679688 177.6259765625 198.0 2791.0 0.8374225561123266 265.711224492242
442.75738525390625 323.86279296875 149.99917602539062 199.0 2794.0 1.105394446306343 515.0341102454333
520.7887573242188 423.9559631347656 159.349853515625 200.0 2799.0 0.7947310379483448 633.4415317452543
534.9169921875 463.080322265625 160.8467559814453 201.0 2805.0 0.42442577292422895 701.8113408661014
623.598876953125 501.76995849609375 168.83828735351562 202.0 2815.0 0.6968580636298946 526.7594856872404
390.1568603515625 331.03558349609375 143.4117889404297 203.0 2818.0 0.8679904891657303 472.7939662736574
656.8546142578125 568.607421875 181.48773193359375 204.0 2829.0 1.015999974907973 127.00772304235254
456.9942932128906 347.7721252441406 144.40631103515625 205.0 2831.0 0.722377038118232 207.3708048493332
480.14288330078125 340.2732849121094 148.35394287109375 206.0 2838.0 0.6979481860961613 150.20747468684533
612.0789184570312 537.6339721679688 177.18894958496094 207.0 2842.0 0.8204265437669426 763.536832857527
618.8170166015625 541.1116943359375 174.9171600341797 208.0 2848.0 0.4317423351653257 820.2353206536798
624.6856689453125 536.7645263671875 169.07785034179688 209.0 2853.0 0.3474913243760736 886.509531617057
617.1868286132812 511.0076599121094 169.8992919921875 210.0 2858.0 0.6486855632568354 513.4452428048451
628.9241333007812 530.1351318359375 176.00999450683594 211.0 2863.0 1.3122296057915395 182.92836572126552
592.2993774414062 436.5627136230469 168.88926696777344 212.0 2868.0 1.230502304484016 488.9088250991796
626.6419067382812 498.9443054199219 171.57508850097656 213.0 2873.0 0.9008195448905019 257.4256973834626
625.6637573242188 525.353271484375 181.78041076660156 214.0 2877.0 1.001192910736478 261.60156311377784
456.34222412109375 363.0958251953125 148.806884765625 215.0 2880.0 0.35532422846968037 664.6530529734871
499.16168212890625 510.7903137207031 179.66085815429688 216.0 2885.0 0.38591259626072216 809.6738185841883
605.5582275390625 516.55029296875 181.16673278808594 217.0 2888.0 0.954222911753391 60.51100893299956
614.1438598632812 518.1804809570312 177.97251892089844 218.0 2892.0 0.7519115687274467 262.2662392840118
529.5917358398438 512.9638671875 173.73692321777344 219.0 2894.0 0.3047780841086627 869.7892538077994
593.7122192382812 518.9412231445312 181.1426239013672 220.0 2901.0 0.6146342398731521 690.407435986747
563.7168579101562 479.5994873046875 175.58338928222656 221.0 2903.0 1.4673351848100358 291.1275796673141
538.2860107421875 497.8575439453125 164.09678649902344 222.0 2908.0 0.5275338320476427 492.62586208074026
562.086669921875 404.61114501953125 156.09591674804688 223.0 2913.0 0.4641125995268654 695.1186041634218
461.5588073730469 385.7010192871094 156.32943725585938 224.0 2918.0 0.8169608745291451 353.8357606930733
602.0805053710938 539.8075561523438 179.9547119140625 225.0 2922.0 1.599804026101688 185.1207662191079
320.6024169921875 212.68438720703125 123.2372055053711 226.0 2923.0 0.6698338500526019 225.5150056058227
589.0390014648438 487.7503967285156 172.3679656982422 227.0 2931.0 0.884208645746828 357.0338756283487
541.7637329101562 452.32110595703125 172.09213256835938 228.0 2934.0 0.9825840017407501 311.93313793461607
575.3455200195312 449.93017578125 168.5304412841797 229.0 2939.0 0.6110496921293991 651.9813961669961
580.8881225585938 494.7058410644531 174.0050506591797 230.0 2942.0 0.9259522687389332 370.6208896013387
550.24072265625 486.2289123535156 169.30567932128906 231.0 2945.0 0.4389218165705968 739.9887755361942
558.6089477539062 423.9559631347656 163.18569946289062 232.0 2948.0 0.34447518151486645 864.1461573954496
